DateTime,WSPD1/A001E,WSPD11/A001E,WSPD12/A001E,WDIR1/A001E,,,,,,
03/13/2016 2030,8.7,9.71,10.55,214,,,,,,
03/13/2016 2040,8.6,9.6,10.43,214,,,,,,
03/13/2016 2050,9,10.05,10.92,215,,,,,,
03/13/2016 2100,9.4,10.49,11.4,216,,,,,,
03/13/2016 2110,9,10.05,10.92,218,,,,,,
03/13/2016 2120,9.3,10.38,11.28,220,,,,,,
03/13/2016 2130,9.5,10.6,11.52,219,,,,,,
03/13/2016 2140,9.5,10.6,11.52,218,,,,,,
03/13/2016 2150,10.1,11.27,12.25,221,,,,,,
03/13/2016 2200,10,11.16,12.13,222,,,,,,
03/13/2016 2210,9.6,10.72,11.65,227,,,,,,
03/13/2016 2220,9.1,10.16,11.04,258,,,,,,
03/13/2016 2230,8.2,9.15,9.95,250,,,,,,
03/13/2016 2240,9.3,10.38,11.28,224,,,,,,
03/13/2016 2250,9.4,10.49,11.4,222,,,,,,
03/13/2016 2300,9.2,10.27,11.16,220,,,,,,
03/13/2016 2310,9,10.05,10.92,221,,,,,,
03/13/2016 2320,9.2,10.27,11.16,221,,,,,,
03/13/2016 2330,9.2,10.27,11.16,222,,,,,,
03/13/2016 2340,8.9,9.93,10.8,219,,,,,,
03/13/2016 2350,10.3,11.5,12.49,241,,,,,,
03/14/2016 0000,9.7,10.83,11.77,245,,,,,,
03/14/2016 0010,9.9,11.05,12.01,249,,,,,,
03/14/2016 0020,10.2,11.39,12.37,254,,,,,,
03/14/2016 0030,9.6,10.72,11.65,247,,,,,,
03/14/2016 0040,9.1,10.16,11.04,241,,,,,,
03/14/2016 0050,9,10.05,10.92,248,,,,,,
03/14/2016 0100,8.5,9.49,10.31,274,,,,,,
03/14/2016 0110,8.1,9.04,9.83,282,,,,,,
03/14/2016 0120,7.6,8.48,9.22,280,,,,,,
03/14/2016 0130,7.3,8.15,8.86,278,,,,,,
03/14/2016 0140,7.1,7.93,8.61,277,,,,,,
03/14/2016 0150,7.5,8.37,9.1,267,,,,,,
03/14/2016 0200,8,8.93,9.7,249,,,,,,
03/14/2016 0210,7.3,8.15,8.86,253,,,,,,
03/14/2016 0220,7.7,8.59,9.34,250,,,,,,
03/14/2016 0230,7.6,8.48,9.22,245,,,,,,
03/14/2016 0240,7.2,8.04,8.73,244,,,,,,
03/14/2016 0250,6,6.7,7.28,244,,,,,,
03/14/2016 0300,5.9,6.59,7.16,245,,,,,,
03/14/2016 0310,6.1,6.81,7.4,244,,,,,,
03/14/2016 0320,5,5.58,6.07,248,,,,,,
03/14/2016 0330,5.3,5.92,6.43,265,,,,,,
03/14/2016 0340,4.6,5.13,5.58,275,,,,,,
03/14/2016 0350,4.1,4.58,4.97,275,,,,,,
03/14/2016 0400,3.8,4.24,4.61,265,,,,,,
03/14/2016 0410,3.6,4.02,4.37,255,,,,,,
