DateTime,AVGPD/A048W,DOMPD/A048W,WVHGT/A048W,WWHGT/A048W,WWPD/A048W,,,,,,,,
09/02/2018 0240,5.32,7.69,0.83,0.4,3,,,,,,,,
09/02/2018 0340,5.04,8.33,0.79,0.39,3.6,,,,,,,,
09/02/2018 0440,5.04,7.69,0.77,0.4,3.6,,,,,,,,
09/02/2018 0540,5.16,8.33,0.77,0.37,4,,,,,,,,
09/02/2018 0640,5.07,8.33,0.82,0.45,3.6,,,,,,,,
09/02/2018 0740,5.02,8.33,0.88,0.48,3.7,,,,,,,,
09/02/2018 0840,5.06,8.33,0.93,0.54,3.6,,,,,,,,
09/02/2018 0940,5.1,7.69,0.93,0.53,3.7,,,,,,,,
09/02/2018 1040,5.18,7.14,0.93,0.5,3.8,,,,,,,,
09/02/2018 1140,5.15,7.14,0.91,0.44,3.7,,,,,,,,
09/02/2018 1240,5.24,7.14,0.92,0.49,4.2,,,,,,,,
09/02/2018 1340,5.02,8.33,0.89,0.52,4.2,,,,,,,,
09/02/2018 1440,5.22,7.14,0.91,0.47,4.5,,,,,,,,
09/02/2018 1540,5.14,8.33,0.9,0.47,4,,,,,,,,
09/02/2018 1640,5.31,7.14,0.98,0.41,3.8,,,,,,,,
09/02/2018 1740,5.38,7.14,0.96,0.41,4,,,,,,,,
09/02/2018 1840,5.48,7.14,0.93,0.39,3.8,,,,,,,,
09/02/2018 1940,5.37,7.14,0.92,0.37,3.8,,,,,,,,
09/02/2018 2040,5.53,7.14,1,0.41,3.8,,,,,,,,
09/02/2018 2140,5.37,7.69,0.88,0.41,3.6,,,,,,,,
09/02/2018 2240,5.33,7.69,0.95,0.41,4.2,,,,,,,,
09/02/2018 2340,5.25,7.14,0.92,0.44,3,,,,,,,,
09/03/2018 0040,5.26,7.14,0.9,0.4,3.1,,,,,,,,
09/03/2018 0140,5.22,7.69,0.96,0.49,3.6,,,,,,,,
