DateTime,WSPD1/A048E,WSPD11/A048E,WSPD12/A048E,WDIR1/A048E,,,,,,,,
08/21/2018 0120,3.7,4.01,4.25,176,,,,,,,,
08/21/2018 0130,3.7,4.01,4.25,172,,,,,,,,
08/21/2018 0140,3.8,4.12,4.36,179,,,,,,,,
08/21/2018 0150,3.4,3.68,3.9,175,,,,,,,,
08/21/2018 0200,3.5,3.79,4.01,178,,,,,,,,
08/21/2018 0210,3.9,4.23,4.48,175,,,,,,,,
08/21/2018 0220,4,4.34,4.6,175,,,,,,,,
08/21/2018 0230,3.9,4.23,4.48,175,,,,,,,,
08/21/2018 0240,3.8,4.12,4.36,179,,,,,,,,
08/21/2018 0250,3.5,3.79,4.01,174,,,,,,,,
08/21/2018 0300,3.7,4.01,4.25,178,,,,,,,,
08/21/2018 0310,3.5,3.79,4.01,193,,,,,,,,
08/21/2018 0320,3.2,3.46,3.66,190,,,,,,,,
08/21/2018 0330,3.4,3.68,3.9,182,,,,,,,,
08/21/2018 0340,3.3,3.57,3.78,185,,,,,,,,
08/21/2018 0350,3.4,3.68,3.9,178,,,,,,,,
08/21/2018 0400,3.8,4.12,4.36,175,,,,,,,,
08/21/2018 0410,4.1,4.45,4.72,183,,,,,,,,
08/21/2018 0420,4.1,4.45,4.72,190,,,,,,,,
08/21/2018 0430,4.3,4.67,4.95,193,,,,,,,,
08/21/2018 0440,4.6,5,5.3,184,,,,,,,,
08/21/2018 0450,4.4,4.78,5.07,185,,,,,,,,
08/21/2018 0500,4.3,4.67,4.95,186,,,,,,,,
08/21/2018 0510,3.6,3.9,4.13,194,,,,,,,,
08/21/2018 0520,3.7,4.01,4.25,192,,,,,,,,
08/21/2018 0530,3.9,4.23,4.48,190,,,,,,,,
08/21/2018 0540,4.1,4.45,4.72,187,,,,,,,,
08/21/2018 0550,4.2,4.56,4.83,181,,,,,,,,
08/21/2018 0600,4.2,4.56,4.83,185,,,,,,,,
08/21/2018 0610,4.6,5,5.3,184,,,,,,,,
08/21/2018 0620,4.9,5.33,5.65,179,,,,,,,,
08/21/2018 0630,4.7,5.11,5.42,178,,,,,,,,
08/21/2018 0640,4.6,5,5.3,176,,,,,,,,
08/21/2018 0650,4.2,4.56,4.83,186,,,,,,,,
08/21/2018 0700,3.7,4.01,4.25,182,,,,,,,,
08/21/2018 0710,4.2,4.56,4.83,182,,,,,,,,
08/21/2018 0720,4.8,5.22,5.54,178,,,,,,,,
